Days Since First Outbreak,HPAI Strain,WOAH Classification,Sampling Method
-0.44484356764539074,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.44484356764539074,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.44484356764539074,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.44484356764539074,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.44484356764539074,0.31433254148157475,-0.10036882777593611,0.5185325673390087
1.5319423000285526,0.31433254148157475,-0.10036882777593611,0.5185325673390087
1.1029377074695266,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.1029377074695266,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.1029377074695266,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.1029377074695266,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.1029377074695266,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.167428593932648,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.167428593932648,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.167428593932648,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
1.167428593932648,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
-0.7252387261807018,0.31433254148157475,-0.10036882777593611,0.5185325673390087
0.2281048128393559,0.31433254148157475,1.383102502285652,1.1965078580595363
-0.5401779215473965,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.6635517913029334,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.601864856425165,0.31433254148157475,-0.10036882777593611,0.5185325673390087
1.4029605271023093,0.31433254148157475,1.383102502285652,1.1965078580595363
-0.7560821936195861,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.7560821936195861,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.7560821936195861,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.7560821936195861,0.31433254148157475,-0.10036882777593611,0.5185325673390087
-0.324273649475207,0.31433254148157475,-0.10036882777593611,0.5185325673390087
0.357086585765599,0.31433254148157475,1.383102502285652,1.1965078580595363
-0.6439241302054617,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
-0.6439241302054617,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
-0.6439241302054617,0.31433254148157475,-0.10036882777593611,-0.8374180141020466
