,State,County,Outbreak Date,HPAI Wildbird Strain,Bird Species,WOAH Classification,FIPS Code,Latitude,Longitude,Flock Type,Flock Size,HPAI Mammal Strain,Mammal Species,Temp,Precipitation,Year,Month,Day,Outbreak Occurred
0,0,84,0,9,231,3,1001.0,32.5349,-86.6427,23,0.0,3,40,70.1,65.07,0.0,0.0,0.0,0
1,0,91,2023-03-01 00:00:00,7,22,2,1003.0,30.7277,-87.7226,23,0.0,3,40,70.1,65.07,2023.0,3.0,1.0,1
2,0,91,2023-03-01 00:00:00,7,17,2,1003.0,30.7277,-87.7226,23,0.0,3,40,70.1,65.07,2023.0,3.0,1.0,1
3,0,91,2023-03-01 00:00:00,7,17,2,1003.0,30.7277,-87.7226,23,0.0,3,40,70.1,65.07,2023.0,3.0,1.0,1
4,0,91,2023-03-01 00:00:00,7,17,2,1003.0,30.7277,-87.7226,23,0.0,3,40,70.1,65.07,2023.0,3.0,1.0,1
5,0,91,2023-03-01 00:00:00,7,17,2,1003.0,30.7277,-87.7226,23,0.0,3,40,70.1,65.07,2023.0,3.0,1.0,1
6,0,91,2025-02-03 00:00:00,0,113,2,1003.0,30.7277,-87.7226,23,0.0,3,40,70.1,65.07,2025.0,2.0,3.0,1
7,0,101,2024-09-03 00:00:00,2,104,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,3.0,1
8,0,101,2024-09-03 00:00:00,2,104,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,3.0,1
9,0,101,2024-09-03 00:00:00,7,85,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,3.0,1
10,0,101,2024-09-03 00:00:00,2,31,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,3.0,1
11,0,101,2024-09-03 00:00:00,2,104,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,3.0,1
12,0,101,2024-09-26 00:00:00,2,225,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,26.0,1
13,0,101,2024-09-26 00:00:00,2,141,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,26.0,1
14,0,101,2024-09-26 00:00:00,2,168,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,26.0,1
15,0,101,2024-09-26 00:00:00,2,168,2,1005.0,31.8696,-85.3932,23,0.0,3,40,70.1,65.07,2024.0,9.0,26.0,1
16,0,150,0,9,231,3,1007.0,32.9986,-87.1265,23,0.0,3,40,70.1,65.07,0.0,0.0,0.0,0
17,0,166,0,9,231,3,1009.0,33.9809,-86.5674,23,0.0,3,40,70.1,65.07,0.0,0.0,0.0,0
